model,family,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss,valid_precision,valid_recall,valid_f1,valid_balanced_accuracy,valid_optimal_precision,valid_optimal_recall,valid_optimal_f1,valid_optimal_balanced_accuracy,valid_threshold_f1,valid_f1_best_internal,valid_lift_at_top_20pct,status
hgb_tuned_033,hgb,0.8434629934237743,0.6387905892617227,0.14031992922145178,0.43086450322017356,0.6072186836518046,0.6124197002141327,0.6098081023454158,0.7347260788551344,0.5335195530726257,0.8179871520342612,0.6458157227387996,0.7799363890001291,0.33999999999999997,0.6458157227387996,2.4532132080981115,success
hgb_tuned_034,hgb,0.8399812675203293,0.6434248698552406,0.14176349481459993,0.43395665911890235,0.5871369294605809,0.6059957173447538,0.5964172813487882,0.7261045047311094,0.5287817938420348,0.8458244111349036,0.6507413509060955,0.786899840807019,0.31999999999999995,0.6507413509060955,2.431787765232626,success
hgb_tuned_035,hgb,0.8412513362612486,0.63777930776051,0.13906927271892647,0.42548374620302665,0.6342592592592593,0.5867237687366167,0.6095661846496107,0.7323108797315232,0.5405405405405406,0.7708779443254818,0.6354810238305384,0.7672009505244102,0.33999999999999997,0.6354810238305384,2.442500486665369,success
hgb_tuned_036,hgb,0.8472161086086667,0.6509332652639299,0.1602886193222845,0.47951343012735803,0.5252100840336135,0.8029978586723768,0.6350550381033023,0.7705097485015671,0.5555555555555556,0.7494646680942184,0.6381039197812215,0.7665406802604013,0.5599999999999999,0.6381039197812215,2.4746386509635974,success
extra_trees_001,extra_trees,0.843898209161705,0.6480501414139231,0.13888343352473373,0.42304450307374253,0.600418410041841,0.6145610278372591,0.6074074074074074,0.7334783500855537,0.5493171471927162,0.7751605995717344,0.6429840142095915,0.7728198670192521,0.35999999999999993,0.6429840142095915,2.4532132080981115,success
random_forest_002,random_forest,0.8459716894644694,0.6449986981436875,0.13725384178175445,0.4199025684417453,0.6202247191011236,0.5910064239828694,0.6052631578947368,0.730201820955886,0.5428994082840237,0.7858672376873662,0.642169728783902,0.7735364009147805,0.33999999999999997,0.642169728783902,2.4960640938290837,success
random_forest_003,random_forest,0.8353014572280564,0.6253164238661011,0.14899525417163045,0.45149934318390594,0.5685557586837294,0.6659528907922913,0.6134122287968442,0.7417863372044918,0.5299270072992701,0.7773019271948608,0.6302083333333334,0.7642305617427163,0.3999999999999999,0.6302083333333334,2.3460859937706835,success
random_forest_004,random_forest,0.8404222751026811,0.6362958874256894,0.140121535075274,0.42662700277850596,0.6112359550561798,0.582441113490364,0.5964912280701754,0.7243735706555374,0.5392592592592592,0.7794432548179872,0.637478108581436,0.769551611953043,0.32999999999999996,0.637478108581436,2.442500486665369,success
random_forest_005,random_forest,0.8479756676341805,0.6508531869455374,0.15385723460441605,0.4645672467074449,0.5564263322884012,0.7601713062098501,0.6425339366515838,0.7707348030276453,0.5490483162518301,0.8029978586723768,0.6521739130434783,0.7824881101708098,0.4699999999999999,0.6521739130434783,2.5067768152618264,success
extra_trees_006,extra_trees,0.8306646720657689,0.6281475459222295,0.16054061836702718,0.4866924020343606,0.5328125,0.7301927194860813,0.6160794941282746,0.7495631294493776,0.5711743772241993,0.6873661670235546,0.6239067055393586,0.7505609815025037,0.57,0.6239067055393586,2.431787765232626,success
